Granule UR,Producer Granule ID,Start Time,End Time,Online Access URLs,Browse URLs,Cloud Cover,Day/Night,Size
S6A_P4_2__LR_RED__NR_025_021_20210714T110146_20210714T125702_F02,,2021-07-14T11:01:46.506Z,2021-07-14T12:57:02.479Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_021_20210714T110146_20210714T125702_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_021_20210714T110146_20210714T125702_F02.bufr.bin",,,UNSPECIFIED,5.427131652832031
S6A_P4_2__LR_RED__NR_025_023_20210714T125702_20210714T145316_F02,,2021-07-14T12:57:02.529Z,2021-07-14T14:53:16.458Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_023_20210714T125702_20210714T145316_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_023_20210714T125702_20210714T145316_F02.bufr.bin",,,UNSPECIFIED,2.712338447570801
S6A_P4_2__LR_RED__NR_025_025_20210714T145317_20210714T164922_F02,,2021-07-14T14:53:17.519Z,2021-07-14T16:49:22.484Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_025_20210714T145317_20210714T164922_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_025_20210714T145317_20210714T164922_F02.bufr.bin",,,UNSPECIFIED,5.296957969665527
S6A_P4_2__LR_RED__NR_025_027_20210714T164922_20210714T184510_F02,,2021-07-14T16:49:22.534Z,2021-07-14T18:45:10.480Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_027_20210714T164922_20210714T184510_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_027_20210714T164922_20210714T184510_F02.bufr.bin",,,UNSPECIFIED,2.7035112380981445
S6A_P4_2__LR_RED__NR_025_029_20210714T184510_20210714T204143_F02,,2021-07-14T18:45:10.530Z,2021-07-14T20:41:43.457Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_029_20210714T184510_20210714T204143_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_029_20210714T184510_20210714T204143_F02.bufr.bin",,,UNSPECIFIED,2.672276496887207
S6A_P4_2__LR_RED__NR_025_032_20210714T204143_20210714T221611_F02,,2021-07-14T20:41:43.507Z,2021-07-14T22:16:11.471Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_032_20210714T204143_20210714T221611_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_032_20210714T204143_20210714T221611_F02.bufr.bin",,,UNSPECIFIED,0.31229496002197266
S6A_P4_2__LR_RED__NR_025_033_20210714T221611_20210715T000941_F02,,2021-07-14T22:16:11.521Z,2021-07-15T00:09:41.471Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_033_20210714T221611_20210715T000941_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_033_20210714T221611_20210715T000941_F02.bufr.bin",,,UNSPECIFIED,0.3118438720703125
S6A_P4_2__LR_RED__NR_025_035_20210715T000941_20210715T020456_F02,,2021-07-15T00:09:41.521Z,2021-07-15T02:04:56.462Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_035_20210715T000941_20210715T020456_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_035_20210715T000941_20210715T020456_F02.bufr.bin",,,UNSPECIFIED,0.31066131591796875
S6A_P4_2__LR_RED__NR_025_037_20210715T020456_20210715T040047_F02,,2021-07-15T02:04:56.513Z,2021-07-15T04:00:47.480Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_037_20210715T020456_20210715T040047_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_037_20210715T020456_20210715T040047_F02.bufr.bin",,,UNSPECIFIED,5.452398300170898
S6A_P4_2__LR_RED__NR_025_039_20210715T040047_20210715T055630_F02,,2021-07-15T04:00:47.531Z,2021-07-15T05:56:30.478Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_039_20210715T040047_20210715T055630_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_039_20210715T040047_20210715T055630_F02.bufr.bin",,,UNSPECIFIED,2.7017946243286133
S6A_P4_2__LR_RED__NR_025_041_20210715T055630_20210715T075208_F02,,2021-07-15T05:56:30.529Z,2021-07-15T07:52:08.466Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_041_20210715T055630_20210715T075208_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_041_20210715T055630_20210715T075208_F02.bufr.bin",,,UNSPECIFIED,0.3104267120361328
S6A_P4_2__LR_RED__NR_025_043_20210715T075208_20210715T093037_F02,,2021-07-15T07:52:08.516Z,2021-07-15T09:30:37.452Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_043_20210715T075208_20210715T093037_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_043_20210715T075208_20210715T093037_F02.bufr.bin",,,UNSPECIFIED,4.605367660522461
S6A_P4_2__LR_RED__NR_025_045_20210715T093037_20210715T112356_F02,,2021-07-15T09:30:37.503Z,2021-07-15T11:23:56.462Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_045_20210715T093037_20210715T112356_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_045_20210715T093037_20210715T112356_F02.bufr.bin",,,UNSPECIFIED,5.390982627868652
S6A_P4_2__LR_RED__NR_025_047_20210715T112356_20210715T131944_F02,,2021-07-15T11:23:56.513Z,2021-07-15T13:19:44.491Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_047_20210715T112356_20210715T131944_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_047_20210715T112356_20210715T131944_F02.bufr.bin",,,UNSPECIFIED,2.658696174621582
S6A_P4_2__LR_RED__NR_025_049_20210715T131944_20210715T151600_F02,,2021-07-15T13:19:44.542Z,2021-07-15T15:16:00.498Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_049_20210715T131944_20210715T151600_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_049_20210715T131944_20210715T151600_F02.bufr.bin",,,UNSPECIFIED,0.31210899353027344
S6A_P4_2__LR_RED__NR_025_051_20210715T151602_20210715T165851_F02,,2021-07-15T15:16:02.520Z,2021-07-15T16:58:51.929Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_051_20210715T151602_20210715T165851_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_051_20210715T151602_20210715T165851_F02.bufr.bin",,,UNSPECIFIED,0.18611621856689453
S6A_P4_2__LR_RED__NR_025_053_20210715T171228_20210715T190748_F02,,2021-07-15T17:12:28.589Z,2021-07-15T19:07:48.382Z,"https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_053_20210715T171228_20210715T190748_F02.nc,https://archive.podaac.earthdata.nasa.gov/podaac-ops-cumulus-protected/JASON_CS_S6A_L2_ALT_LR_RED_OST_NRT_F/S6A_P4_2__LR_RED__NR_025_053_20210715T171228_20210715T190748_F02.bufr.bin",,,UNSPECIFIED,5.3881378173828125
